序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
527,ARCSABER 001 ARC001 弓箭001 弓剑001 弓001 ARCSABER001 弓剑系列,YONEX ARCSABER 001,YONEX,尤尼克斯,ARCSABER 001,YONEX ARCSABER 001,ARCSABER 001 ARC001 弓箭001 弓剑001 弓001 ARCSABER001 弓剑系列；YONEX ARCSABER 001；ARCSABER001；ARC001；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-001,YONEX ARCSABER 001,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
528,ARCSABER 001JR 弓剑001JR ARC001JR ARC,YONEX ARCSABER 001JR,YONEX,尤尼克斯,ARCSABER 001JR,YONEX ARCSABER 001JR,ARCSABER 001JR 弓剑001JR ARC001JR ARC；YONEX ARCSABER 001JR；ARCSABER001JR；ARC001JR；弓剑,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-001JR,YONEX ARCSABER 001JR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
529,ARCSABER 003 弓剑003 弓箭003 ARC,YONEX ARCSABER 003,YONEX,尤尼克斯,ARCSABER 003,YONEX ARCSABER 003,ARCSABER 003 弓剑003 弓箭003 ARC；YONEX ARCSABER 003；ARCSABER003；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-003,YONEX ARCSABER 003,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
530,ARCSABER 008 ARC008 弓剑008 弓箭008 弓剑系列,YONEX ARCSABER 008,YONEX,尤尼克斯,ARCSABER 008,YONEX ARCSABER 008,ARCSABER 008 ARC008 弓剑008 弓箭008 弓剑系列；YONEX ARCSABER 008；ARCSABER008；ARC008；弓剑；弓箭,900,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-008,YONEX ARCSABER 008,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
531,ARCSABER 008 弓剑008 ARC008 弓箭008 ARC,YONEX ARCSABER 008,YONEX,尤尼克斯,ARCSABER 008,YONEX ARCSABER 008,ARCSABER 008 弓剑008 ARC008 弓箭008 ARC；YONEX ARCSABER 008；ARCSABER008；ARC008；弓剑；弓箭,900,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-008,YONEX ARCSABER 008,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
532,ARCSABER 008T ARC008T 弓剑系列,YONEX ARCSABER 008T,YONEX,尤尼克斯,ARCSABER 008T,YONEX ARCSABER 008T,ARCSABER 008T ARC008T 弓剑系列；YONEX ARCSABER 008T；ARCSABER008T；ARC008T；弓剑,900,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-008T,YONEX ARCSABER 008T,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
533,ARCSABER 009DX 弓剑009DX 弓箭009DX ARC009DX ARCSABER009DX 弓剑系列,YONEX ARCSABER 009DX,YONEX,尤尼克斯,ARCSABER 009DX,YONEX ARCSABER 009DX,ARCSABER 009DX 弓剑009DX 弓箭009DX ARC009DX ARCSABER009DX 弓剑系列；YONEX ARCSABER 009DX；ARCSABER009DX；ARC009DX；弓剑；弓箭,900,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-009DX,YONEX ARCSABER 009DX,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
534,ARCSABER 1 FEEL 弓剑1FEEL ARC1FEEL 弓剑系列,YONEX ARCSABER 1 FEEL,YONEX,尤尼克斯,ARCSABER 1 FEEL,YONEX ARCSABER 1 FEEL,ARCSABER 1 FEEL 弓剑1FEEL ARC1FEEL 弓剑系列；YONEX ARCSABER 1 FEEL；ARCSABER1；ARC1FEEL；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-1-FEEL,YONEX ARCSABER 1 FEEL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
535,ARCSABER 10 ARC,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 ARC；YONEX ARCSABER 10；ARCSABER10,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
536,ARCSABER 10 LV 白 弓10 ARC10LVPG 弓箭10 白弓 弓剑10 ARCSABER10LV白 白弓盖德 弓剑系列,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 LV 白 弓10 ARC10LVPG 弓箭10 白弓 弓剑10 ARCSABER10LV白 白弓盖德 弓剑系列；YONEX ARCSABER 10；ARCSABER10；ARC10LVPG；弓剑；弓箭,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
537,ARCSABER 10 LV 红 ARC10LV ARC10 弓剑10LV 红弓1LV ARC,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 LV 红 ARC10LV ARC10 弓剑10LV 红弓1LV ARC；YONEX ARCSABER 10；ARCSABER10；ARC10LV；ARC10；弓剑,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
538,ARCSABER 10 PG 弓10 ARC10 弓箭10 ARC10PG 弓剑10 弓剑系列,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 PG 弓10 ARC10 弓箭10 ARC10PG 弓剑10 弓剑系列；YONEX ARCSABER 10；ARCSABER10；ARC10；ARC10PG；弓剑；弓箭,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
539,ARCSABER 10 TH 陶菲克 弓10 ARC10TH 弓箭10th 弓10TH 弓剑10 ARCSABER10TH 弓剑系列,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 TH 陶菲克 弓10 ARC10TH 弓箭10th 弓10TH 弓剑10 ARCSABER10TH 弓剑系列；YONEX ARCSABER 10；ARCSABER10；ARC10TH；ARCSABER10TH；弓剑；弓箭,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
540,ARCSABER 10 premium2012 ARC10PR ARC,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 premium2012 ARC10PR ARC；YONEX ARCSABER 10；ARCSABER10；PREMIUM2012；ARC10PR,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
541,ARCSABER 10 珍珠白 ARC10 弓箭10 白弓 弓剑10 白弓10 ARCSABER10 弓剑系列,YONEX ARCSABER 10,YONEX,尤尼克斯,ARCSABER 10,YONEX ARCSABER 10,ARCSABER 10 珍珠白 ARC10 弓箭10 白弓 弓剑10 白弓10 ARCSABER10 弓剑系列；YONEX ARCSABER 10；ARCSABER10；ARC10；弓剑；弓箭,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-10,YONEX ARCSABER 10,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
542,ARCSABER 100 Limited Edition ARC100LTD 弓箭100ltd 弓剑100ltd 弓剑系列,YONEX ARCSABER 100 LIMITED,YONEX,尤尼克斯,ARCSABER 100 LIMITED,YONEX ARCSABER 100 LIMITED,ARCSABER 100 Limited Edition ARC100LTD 弓箭100ltd 弓剑100ltd 弓剑系列；YONEX ARCSABER 100；ARCSABER100；ARC100LTD；弓剑；弓箭,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-100,YONEX ARCSABER 100,可按基准型号对应,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
543,ARCSABER 100 Taufik ARC100TH ARC100陶菲克 ARC,YONEX ARCSABER 100,YONEX,尤尼克斯,ARCSABER 100,YONEX ARCSABER 100,ARCSABER 100 Taufik ARC100TH ARC100陶菲克 ARC；YONEX ARCSABER 100；ARCSABER100；ARC100TH,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-100,YONEX ARCSABER 100,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
544,ARCSABER 11 ARC11 弓箭11 弓11 弓剑11 ARC,YONEX ARCSABER 11,YONEX,尤尼克斯,ARCSABER 11,YONEX ARCSABER 11,ARCSABER 11 ARC11 弓箭11 弓11 弓剑11 ARC；YONEX ARCSABER 11；ARCSABER11；ARC11；弓剑；弓箭,1380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11,YONEX ARCSABER 11,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
545,ARCSABER 11 BP 弓剑11BP ARC,YONEX ARCSABER 11 BP,YONEX,尤尼克斯,ARCSABER 11 BP,YONEX ARCSABER 11 BP,ARCSABER 11 BP 弓剑11BP ARC；YONEX ARCSABER 11；ARCSABER11；弓剑,1380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11,YONEX ARCSABER 11,可按基准型号对应,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
546,ARCSABER 11 BP 蓝白 ARC11BP ARC,YONEX ARCSABER 11 BP,YONEX,尤尼克斯,ARCSABER 11 BP,YONEX ARCSABER 11 BP,ARCSABER 11 BP 蓝白 ARC11BP ARC；YONEX ARCSABER 11；ARCSABER11；ARC11BP,1380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11,YONEX ARCSABER 11,可按基准型号对应,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
547,ARCSABER 11 PLAY 灰红 弓剑11PLAY ARC11,YONEX ARCSABER 11 PLAY,YONEX,尤尼克斯,ARCSABER 11 PLAY,YONEX ARCSABER 11 PLAY,ARCSABER 11 PLAY 灰红 弓剑11PLAY ARC11；YONEX ARCSABER 11 PLAY；ARCSABER11；ARC11；弓剑,1380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11-PLAY,YONEX ARCSABER 11 PLAY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
548,ARCSABER 11 PRO BP ARC11PROBP 弓剑11PROBP 弓11PRObp 弓剑系列,YONEX ARCSABER 11 PRO BP,YONEX,尤尼克斯,ARCSABER 11 PRO BP,YONEX ARCSABER 11 PRO BP,ARCSABER 11 PRO BP ARC11PROBP 弓剑11PROBP 弓11PRObp 弓剑系列；YONEX ARCSABER 11 PRO；ARCSABER11；ARC11PROBP；弓剑,1760,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11-PRO,YONEX ARCSABER 11 PRO,可按基准型号对应,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
549,ARCSABER 11 PRO 灰红 弓剑11PRO ARC11,YONEX ARCSABER 11 PRO,YONEX,尤尼克斯,ARCSABER 11 PRO,YONEX ARCSABER 11 PRO,ARCSABER 11 PRO 灰红 弓剑11PRO ARC11；YONEX ARCSABER 11 PRO；ARCSABER11；ARC11；弓剑,1830,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11-PRO,YONEX ARCSABER 11 PRO,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
550,ARCSABER 11 PRO 郑思维,YONEX ARCSABER 11 PRO,YONEX,尤尼克斯,ARCSABER 11 PRO,YONEX ARCSABER 11 PRO,ARCSABER 11 PRO 郑思维；YONEX ARCSABER 11 PRO；ARCSABER11,1760,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11-PRO,YONEX ARCSABER 11 PRO,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
551,ARCSABER 11 TOUR 灰红 弓剑11TOUR ARC11TOUR ARC11,YONEX ARCSABER 11 TOUR,YONEX,尤尼克斯,ARCSABER 11 TOUR,YONEX ARCSABER 11 TOUR,ARCSABER 11 TOUR 灰红 弓剑11TOUR ARC11TOUR ARC11；YONEX ARCSABER 11 TOUR；ARCSABER11；ARC11TOUR；ARC11；弓剑,1100,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11-TOUR,YONEX ARCSABER 11 TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
552,ARCSABER 11 金属红 弓剑11 ARC11YX ARC,YONEX ARCSABER 11,YONEX,尤尼克斯,ARCSABER 11,YONEX ARCSABER 11,ARCSABER 11 金属红 弓剑11 ARC11YX ARC；YONEX ARCSABER 11；ARCSABER11；ARC11YX；弓剑,1380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11,YONEX ARCSABER 11,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
553,ARCSABER 1TOUR 弓箭1TOUR ARC,YONEX ARCSABER 1TOUR,YONEX,尤尼克斯,ARCSABER 1TOUR,YONEX ARCSABER 1TOUR,ARCSABER 1TOUR 弓箭1TOUR ARC；YONEX ARCSABER 1TOUR；ARCSABER1TOUR；弓箭,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-1TOUR,YONEX ARCSABER 1TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
554,ARCSABER 2 ABILITY 弓剑2ABILITY ARC2ABILITY ARCSABER2ABILITY 弓剑系列,YONEX ARCSABER 2 ABILITY,YONEX,尤尼克斯,ARCSABER 2 ABILITY,YONEX ARCSABER 2 ABILITY,ARCSABER 2 ABILITY 弓剑2ABILITY ARC2ABILITY ARCSABER2ABILITY 弓剑系列；YONEX ARCSABER 2 ABILITY；ARCSABER2；ARC2ABILITY；ARCSABER2ABILITY；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-2-ABILITY,YONEX ARCSABER 2 ABILITY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
555,ARCSABER 2 CLEAR 弓剑2CLEAR ARC2CLEAR2 弓剑2 弓剑系列,YONEX ARCSABER 2 CLEAR,YONEX,尤尼克斯,ARCSABER 2 CLEAR,YONEX ARCSABER 2 CLEAR,ARCSABER 2 CLEAR 弓剑2CLEAR ARC2CLEAR2 弓剑2 弓剑系列；YONEX ARCSABER 2 CLEAR；ARCSABER2；ARC2CLEAR2；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-2-CLEAR,YONEX ARCSABER 2 CLEAR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
556,ARCSABER 2 FEEL 弓剑2FEEL ARC2FEEL 弓剑系列,YONEX ARCSABER 2 FEEL,YONEX,尤尼克斯,ARCSABER 2 FEEL,YONEX ARCSABER 2 FEEL,ARCSABER 2 FEEL 弓剑2FEEL ARC2FEEL 弓剑系列；YONEX ARCSABER 2 FEEL；ARCSABER2；ARC2FEEL；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-2-FEEL,YONEX ARCSABER 2 FEEL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
557,ARCSABER 200THL 弓剑200THL 弓箭200THL ARC,YONEX ARCSABER 200THL,YONEX,尤尼克斯,ARCSABER 200THL,YONEX ARCSABER 200THL,ARCSABER 200THL 弓剑200THL 弓箭200THL ARC；YONEX ARCSABER 200THL；ARCSABER200THL；弓剑；弓箭,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-200THL,YONEX ARCSABER 200THL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
558,ARCSABER 2I ARC2I ARC,YONEX ARCSABER 2I,YONEX,尤尼克斯,ARCSABER 2I,YONEX ARCSABER 2I,ARCSABER 2I ARC2I ARC；YONEX ARCSABER 2I；ARCSABER2I；ARC2I,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-2I,YONEX ARCSABER 2I,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
559,ARCSABER 3 ARC,YONEX ARCSABER 3,YONEX,尤尼克斯,ARCSABER 3,YONEX ARCSABER 3,ARCSABER 3 ARC；YONEX ARCSABER 3；ARCSABER3,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-3,YONEX ARCSABER 3,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
560,ARCSABER 3300 TOUR ARC3300TOUR 弓剑3300tour 弓箭3300 弓剑系列,YONEX ARCSABER 3300 TOUR,YONEX,尤尼克斯,ARCSABER 3300 TOUR,YONEX ARCSABER 3300 TOUR,ARCSABER 3300 TOUR ARC3300TOUR 弓剑3300tour 弓箭3300 弓剑系列；YONEX ARCSABER 3300 TOUR；ARCSABER3300；ARC3300TOUR；弓剑；弓箭,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-3300-TOUR,YONEX ARCSABER 3300 TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
561,ARCSABER 3FL 弓箭3FL ARC3FL 弓3FL 弓剑3FL ARC,YONEX ARCSABER 3FL,YONEX,尤尼克斯,ARCSABER 3FL,YONEX ARCSABER 3FL,ARCSABER 3FL 弓箭3FL ARC3FL 弓3FL 弓剑3FL ARC；YONEX ARCSABER 3FL；ARCSABER3FL；ARC3FL；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-3FL,YONEX ARCSABER 3FL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
562,ARCSABER 3TOUR 弓剑3TOUR ARC,YONEX ARCSABER 3TOUR,YONEX,尤尼克斯,ARCSABER 3TOUR,YONEX ARCSABER 3TOUR,ARCSABER 3TOUR 弓剑3TOUR ARC；YONEX ARCSABER 3TOUR；ARCSABER3TOUR；弓剑,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-3TOUR,YONEX ARCSABER 3TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
563,ARCSABER 4DX arc4dx 弓箭4DX 弓剑4DX ARCSABER4DX 弓剑系列,YONEX ARCSABER 4DX,YONEX,尤尼克斯,ARCSABER 4DX,YONEX ARCSABER 4DX,ARCSABER 4DX arc4dx 弓箭4DX 弓剑4DX ARCSABER4DX 弓剑系列；YONEX ARCSABER 4DX；ARCSABER4DX；ARC4DX；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-4DX,YONEX ARCSABER 4DX,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
564,ARCSABER 5 弓箭5 ARC5 弓剑5 弓剑系列,YONEX ARCSABER 5,YONEX,尤尼克斯,ARCSABER 5,YONEX ARCSABER 5,ARCSABER 5 弓箭5 ARC5 弓剑5 弓剑系列；YONEX ARCSABER 5；ARCSABER5；ARC5；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-5,YONEX ARCSABER 5,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
565,ARCSABER 5DX ARC5DX ARC,YONEX ARCSABER 5DX,YONEX,尤尼克斯,ARCSABER 5DX,YONEX ARCSABER 5DX,ARCSABER 5DX ARC5DX ARC；YONEX ARCSABER 5DX；ARCSABER5DX；ARC5DX,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-5DX,YONEX ARCSABER 5DX,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
566,ARCSABER 5I ARC5I 弓箭5I ARC5I,YONEX ARCSABER 5I,YONEX,尤尼克斯,ARCSABER 5I,YONEX ARCSABER 5I,ARCSABER 5I ARC5I 弓箭5I ARC5I；YONEX ARCSABER 5I；ARCSABER5I；ARC5I；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-5I,YONEX ARCSABER 5I,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
567,ARCSABER 6 ARC,YONEX ARCSABER 6,YONEX,尤尼克斯,ARCSABER 6,YONEX ARCSABER 6,ARCSABER 6 ARC；YONEX ARCSABER 6；ARCSABER6,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-6,YONEX ARCSABER 6,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
568,ARCSABER 68 LIGHT ARC68 ARC68LIGHT 弓剑68light 弓箭68light 弓剑系列,YONEX ARCSABER 68 LIGHT,YONEX,尤尼克斯,ARCSABER 68 LIGHT,YONEX ARCSABER 68 LIGHT,ARCSABER 68 LIGHT ARC68 ARC68LIGHT 弓剑68light 弓箭68light 弓剑系列；YONEX ARCSABER 68 LIGHT；ARCSABER68；ARC68；ARC68LIGHT；弓剑；弓箭,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-68-LIGHT,YONEX ARCSABER 68 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
569,ARCSABER 69 light ARC69LT 弓剑69lt ARC,YONEX ARCSABER 69 LIGHT,YONEX,尤尼克斯,ARCSABER 69 LIGHT,YONEX ARCSABER 69 LIGHT,ARCSABER 69 light ARC69LT 弓剑69lt ARC；YONEX ARCSABER 69 LIGHT；ARCSABER69；ARC69LT；弓剑,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-69-LIGHT,YONEX ARCSABER 69 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
570,ARCSABER 6FL 弓箭6FL ARC6FLEX 弓剑6FL ARCSABER6FL 弓剑系列,YONEX ARCSABER 6FL,YONEX,尤尼克斯,ARCSABER 6FL,YONEX ARCSABER 6FL,ARCSABER 6FL 弓箭6FL ARC6FLEX 弓剑6FL ARCSABER6FL 弓剑系列；YONEX ARCSABER 6FL；ARCSABER6FL；ARC6FLEX；弓剑；弓箭,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-6FL,YONEX ARCSABER 6FL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
571,ARCSABER 7 PLAY 拾光 弓剑7PLAY拾光 ARC7,YONEX ARCSABER 7 PLAY,YONEX,尤尼克斯,ARCSABER 7 PLAY,YONEX ARCSABER 7 PLAY,ARCSABER 7 PLAY 拾光 弓剑7PLAY拾光 ARC7；YONEX ARCSABER 7 PLAY；ARCSABER7；ARC7；弓剑,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7-PLAY,YONEX ARCSABER 7 PLAY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
572,ARCSABER 7 PLAY 灰/黄 弓剑7PLAY ARC7,YONEX ARCSABER 7 PLAY,YONEX,尤尼克斯,ARCSABER 7 PLAY,YONEX ARCSABER 7 PLAY,ARCSABER 7 PLAY 灰/黄 弓剑7PLAY ARC7；YONEX ARCSABER 7 PLAY；ARCSABER7；ARC7；弓剑,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7-PLAY,YONEX ARCSABER 7 PLAY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
573,ARCSABER 7 PRO 灰/黄 弓剑7pro ARC7,YONEX ARCSABER 7 PRO,YONEX,尤尼克斯,ARCSABER 7 PRO,YONEX ARCSABER 7 PRO,ARCSABER 7 PRO 灰/黄 弓剑7pro ARC7；YONEX ARCSABER 7 PRO；ARCSABER7；ARC7；弓剑,1680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7-PRO,YONEX ARCSABER 7 PRO,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
574,ARCSABER 7 TOUR 拾光限定 弓剑7TOUR拾光限定 ARC,YONEX ARCSABER 7 TOUR,YONEX,尤尼克斯,ARCSABER 7 TOUR,YONEX ARCSABER 7 TOUR,ARCSABER 7 TOUR 拾光限定 弓剑7TOUR拾光限定 ARC；YONEX ARCSABER 7 TOUR；ARCSABER7；弓剑,1020,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7-TOUR,YONEX ARCSABER 7 TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
575,ARCSABER 7 TOUR 灰/黄 弓剑7TOUR ARC,YONEX ARCSABER 7 TOUR,YONEX,尤尼克斯,ARCSABER 7 TOUR,YONEX ARCSABER 7 TOUR,ARCSABER 7 TOUR 灰/黄 弓剑7TOUR ARC；YONEX ARCSABER 7 TOUR；ARCSABER7；弓剑,1020,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7-TOUR,YONEX ARCSABER 7 TOUR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
576,ARCSABER 7 弓剑7 ARC7 ARCSABER7 弓箭7 弓箭七 弓7 弓剑系列,YONEX ARCSABER 7,YONEX,尤尼克斯,ARCSABER 7,YONEX ARCSABER 7,ARCSABER 7 弓剑7 ARC7 ARCSABER7 弓箭7 弓箭七 弓7 弓剑系列；YONEX ARCSABER 7；ARCSABER7；ARC7；弓剑；弓箭,900,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-7,YONEX ARCSABER 7,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
577,ARCSABER 71 LIGHT 弓剑71 弓箭71 弓箭71L 弓剑71L 弓剑系列,YONEX ARCSABER 71 LIGHT,YONEX,尤尼克斯,ARCSABER 71 LIGHT,YONEX ARCSABER 71 LIGHT,ARCSABER 71 LIGHT 弓剑71 弓箭71 弓箭71L 弓剑71L 弓剑系列；YONEX ARCSABER 71 LIGHT；ARCSABER71；弓剑；弓箭,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-71-LIGHT,YONEX ARCSABER 71 LIGHT,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
